feature,importance
heart_rate,0.08213585327057787
age,0.07298619369571717
blood_pressure,0.07142036946979707
bmi,0.0696354943575451
success_rate,0.06207053443674112
waiting_time,0.05230043745533152
queue_length,0.04927002711519149
waiting_hours,0.047594926788999466
avg_consult_time,0.0458720100209564
disease,0.03814522343064661
previous_treatments,0.03684315532666574
patient_load,0.03635546872018835
experience_years,0.036347968652445675
department,0.027642905258494083
bed_availability,0.026906017978556244
staff_availability,0.02571300117635397
avg_treatment_cost,0.025496708366607182
outcome_history,0.023829706018097217
icu_capacity,0.023244524226145837
previous_conditions,0.023034992165891888
equipment_score,0.01876061532551648
gender,0.01558333754947456
age_group,0.015429888075691123
severity_level,0.01325400610214105
appointment_priority,0.012149714887191165
specialization,0.010589648067139846
bmi_category,0.008717032593983093
follow_up_required,0.008309067537708607
smoking_status,0.007810209981412193
bp_category,0.006659390318185069
is_emergency,0.0058915716306067335
