feature,importance
high_severity,0.3008054
treatment_outcome,0.28244954
severity_level,0.18894431
icu_capacity,0.09244163
moderate_severity,0.03815096
waiting_hours,0.030318927
waiting_time,0.022399647
hospital_capacity,0.013524348
icu_ratio,0.012590583
age_severity,0.0069318693
doctor_experience,0.0015775147
doctor_patient_load,0.0015093612
age,0.0013648367
bed_availability,0.0011929221
age_group,0.0009909146
bmi_bp,0.0009511422
blood_pressure,0.00078490813
hr_high,0.0007780581
long_wait,0.00068052614
equipment_availability,0.0006530002
bmi_category,0.0006091692
doctor_success_rate,0.0002611418
heart_rate,8.140696e-05
bmi,7.773081e-06
risk_score,0.0
senior,0.0
bp_low,0.0
bp_high,0.0
obese,0.0
hr_low,0.0
